id,disc,sector,symbol,token,cap,ltp
226,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON-EQ,17094,18634,1.1
227,Vinati Organics Ltd.,Chemicals,VINATIORGA-EQ,17364,18587,1.1
228,IIFL Finance Ltd.,Financial Services,IIFL-EQ,11809,18559,1.1
229,Bata India Ltd.,Consumer Durables,BATAINDIA-EQ,371,18229,1.1
230,Bharat Dynamics Ltd.,Capital Goods,BDL-EQ,2144,18121,1.1
231,LIC Housing Finance Ltd.,Financial Services,LICHSGFIN-EQ,1997,18083,1.1
232,Rajesh Exports Ltd.,Consumer Durables,RAJESHEXPO-EQ,7401,18013,1.1
233,CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA-EQ,14937,17983,1.1
234,The Ramco Cements Ltd.,Construction Materials,RAMCOCEM-EQ,2043,17879,1.1
235,Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE-EQ,18822,17465,1.1
236,Devyani International Ltd.,Consumer Services,DEVYANI-EQ,5373,17429,1.1
237,Dixon Technologies (India) Ltd.,Consumer Durables,DIXON-EQ,21690,17041,1.1
238,PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX-EQ,13147,16841,1.1
239,Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER-EQ,1808,16787,1.1
240,Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL-EQ,18011,16684,1.1
241,Bank of Maharashtra,Financial Services,MAHABANK-EQ,11377,16657,1.1
242,Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV-EQ,13404,16388,1.1
243,Piramal Enterprises Ltd.,Financial Services,PEL-EQ,2412,16189,1.1
244,Prestige Estates Projects Ltd.,Realty,PRESTIGE-EQ,20302,16162,1.1
245,The New India Assurance Company Ltd.,Financial Services,NIACL-EQ,399,16035,1.1
246,Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO-EQ,10990,15968,1.1
247,Pfizer Ltd.,Healthcare,PFIZER-EQ,2643,15861,1.1
248,Narayana Hrudayalaya Ltd.,Healthcare,NH-EQ,11840,15820,1.1
249,Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD-EQ,13517,15817,1.1
250,Laurus Labs Ltd.,Healthcare,LAURUSLABS-EQ,19234,15779,1.1
251,Five-Star Business Finance Ltd.,Financial Services,FIVESTAR-EQ,12032,15751,1.1
252,Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM-EQ,8124,15487,1.1
253,Indiamart Intermesh Ltd.,Consumer Services,INDIAMART-EQ,10726,15367,1.1
254,360 ONE WAM Ltd.,Financial Services,360ONE-EQ,13061,15336,1.1
255,KEI Industries Ltd.,Capital Goods,KEI-EQ,13310,15320,1.1
256,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM-EQ,1726,15292,1.1
257,Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB-EQ,11654,15240,1.1
258,Jindal Stainless Ltd.,Metals & Mining,JSL-EQ,11236,15228,1.1
259,IRB Infrastructure Developers Ltd.,Construction,IRB-EQ,15313,15188,1.1
260,Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND-EQ,676,15125,1.1
261,Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL-EQ,13197,14951,1.1
262,Blue Dart Express Ltd.,Services,BLUEDART-EQ,495,14742,1.1
263,Westlife Foodworld Ltd.,Consumer Services,WESTLIFE-EQ,11580,14731,1.1
264,National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM-EQ,6364,14399,1.1
265,Rail Vikas Nigam Ltd.,Construction,RVNL-EQ,9552,14303,1.1
266,CreditAccess Grameen Ltd.,Financial Services,CREDITACC-EQ,4421,14296,1.1
267,Trident Ltd.,Textiles,TRIDENT-EQ,9685,14243,1.1
268,Hitachi Energy India Ltd.,Capital Goods,POWERINDIA-EQ,18457,14169,1.1
269,Global Health Ltd.,Healthcare,MEDANTA-EQ,11956,14132,1.1
270,Ratnamani Metals & Tubes Ltd.,Capital Goods,RATNAMANI-EQ,13451,13891,1.1
271,Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP-EQ,937,13885,1.1
272,ICICI Securities Ltd.,Financial Services,ISEC-EQ,2489,13820,1.1
273,Capri Global Capital Ltd.,Financial Services,CGCL-EQ,20329,13629,1.1
274,Godrej Industries Ltd.,Diversified,GODREJIND-EQ,10925,13595,1.1
275,Clean Science and Technology Ltd.,Chemicals,CLEAN-EQ,5049,13469,1.1
276,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK-EQ,509,13373,1.1
277,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM-EQ,40,13301,1.1
278,Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT-EQ,1008,13290,1.1
279,Blue Star Ltd.,Consumer Durables,BLUESTARCO-EQ,8311,13283,1.1
280,Sanofi India Ltd.,Healthcare,SANOFI-EQ,1442,13208,1.1
281,Fine Organic Industries Ltd.,Chemicals,FINEORG-EQ,3744,13204,1.1
282,Affle (India) Ltd.,Information Technology,AFFLE-EQ,11343,13153,1.1
283,Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK-EQ,7406,13112,1.1
284,Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA-EQ,357,13089,1.1
285,SJVN Ltd.,Power,SJVN-EQ,18883,13066,1.1
286,Redington Ltd.,Services,REDINGTON-EQ,14255,13024,1.1
287,Aavas Financiers Ltd.,Financial Services,AAVAS-EQ,5385,12734,1.1
288,IDFC Ltd.,Financial Services,IDFC-EQ,11957,12567,1.1
289,Finolex Cables Ltd.,Capital Goods,FINCABLES-EQ,1038,12427,1.1
290,Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO-EQ,5426,12318,1.1
291,Aptus Value Housing Finance India Ltd.,Financial Services,APTUS-EQ,5435,12097,1.1
292,Suven Pharmaceuticals Ltd.,Healthcare,SUVENPHAR-EQ,17945,12025,1.1
293,Aster DM Healthcare Ltd.,Healthcare,ASTERDM-EQ,1508,12023,1.1
294,RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM-EQ,31163,11849,1.1
295,Kec International Ltd.,Capital Goods,KEC-EQ,13260,11732,1.1
296,Sonata Software Ltd.,Information Technology,SONATSOFTW-EQ,6596,11725,1.1
