0,1,2,3,4,5
2024-05-13T13:49:00+05:30,1256.0,1257.25,1255.45,1257.05,1390
2024-05-13T13:49:00+05:30,560.15,560.15,559.85,560.0,6310
2024-05-13T13:49:00+05:30,5152.95,5158.9,5149.5,5157.45,355
2024-05-13T13:49:00+05:30,408.95,409.45,408.75,409.35,18114
2024-05-13T13:49:00+05:30,1341.5,1343.3,1341.5,1342.8,1149
2024-05-13T13:49:00+05:30,551.5,551.9,551.45,551.85,4346
2024-05-13T13:49:00+05:30,862.25,862.3,861.05,862.15,974
2024-05-13T13:49:00+05:30,25958.8,25969.0,25958.8,25969.0,16
2024-05-13T13:49:00+05:30,986.65,986.85,986.35,986.45,172
2024-05-13T13:49:00+05:30,3886.5,3892.0,3885.9,3891.95,4742
2024-05-13T13:49:00+05:30,628.55,629.4,628.35,629.4,13566
2024-05-13T13:49:00+05:30,1424.25,1426.85,1424.25,1425.2,9566
2024-05-13T13:49:00+05:30,832.6,833.35,831.6,832.85,10362
2024-05-13T13:49:00+05:30,259.4,259.9,259.25,259.85,62366
2024-05-13T13:49:00+05:30,1382.6,1386.0,1382.3,1385.25,9391
2024-05-13T13:49:00+05:30,4649.9,4650.0,4648.3,4650.0,1403
2024-05-13T13:49:00+05:30,5900.0,5904.55,5900.0,5900.15,124
2024-05-13T13:49:00+05:30,3895.3,3898.2,3892.65,3897.95,642
2024-05-13T13:49:00+05:30,603.2,604.2,603.0,603.45,11617
2024-05-13T13:49:00+05:30,1702.55,1705.0,1702.2,1704.3,1410
2024-05-13T13:49:00+05:30,588.5,588.8,588.45,588.8,1115
2024-05-13T13:49:00+05:30,4062.35,4063.0,4059.4,4061.85,411
2024-05-13T13:49:00+05:30,1416.55,1417.95,1416.55,1417.35,4080
2024-05-13T13:49:00+05:30,581.15,581.75,580.6,581.7,3515
2024-05-13T13:49:00+05:30,2216.7,2218.8,2216.7,2218.8,360
2024-05-13T13:49:00+05:30,7901.25,7905.9,7900.0,7902.8,1344
2024-05-13T13:49:00+05:30,224.5,224.55,224.35,224.5,10146
2024-05-13T13:49:00+05:30,2174.0,2176.8,2173.9,2176.8,387
2024-05-13T13:49:00+05:30,713.65,714.5,713.65,714.2,1604
2024-05-13T13:49:00+05:30,191.65,191.9,191.55,191.9,21926
2024-05-13T13:49:00+05:30,8381.95,8381.95,8381.95,8381.95,1
2024-05-13T13:49:00+05:30,1093.2,1094.65,1093.0,1094.4,3218
2024-05-13T13:49:00+05:30,594.3,595.1,594.2,594.85,7287
2024-05-13T13:49:00+05:30,1291.65,1293.95,1291.3,1293.5,3960
2024-05-13T13:49:00+05:30,594.05,594.35,594.05,594.1,1738
2024-05-13T13:49:00+05:30,5816.05,5818.05,5815.0,5818.05,608
2024-05-13T13:49:00+05:30,405.8,406.35,405.7,405.9,67955
2024-05-13T13:49:00+05:30,30541.65,30543.75,30538.7,30538.7,21
2024-05-13T13:49:00+05:30,492.25,492.6,492.25,492.5,483
2024-05-13T13:49:00+05:30,932.2,934.0,932.0,934.0,5314
2024-05-13T13:49:00+05:30,1188.0,1189.1,1187.4,1188.5,542
2024-05-13T13:49:00+05:30,520.8,520.95,520.1,520.75,39893
2024-05-13T13:49:00+05:30,331.2,331.25,331.2,331.25,1586
2024-05-13T13:49:00+05:30,1652.6,1655.45,1652.4,1655.35,564
2024-05-13T13:49:00+05:30,2598.6,2602.5,2598.6,2601.15,652
2024-05-13T13:49:00+05:30,548.25,549.0,547.9,549.0,24191
2024-05-13T13:49:00+05:30,122.25,122.45,122.2,122.4,130138
2024-05-13T13:49:00+05:30,2046.1,2050.8,2045.15,2050.8,841
2024-05-13T13:49:00+05:30,994.55,994.75,994.4,994.75,534
2024-05-13T13:49:00+05:30,3956.05,3960.0,3951.7,3958.5,186
2024-05-13T13:49:00+05:30,4436.75,4439.95,4436.3,4437.25,1266
2024-05-13T13:49:00+05:30,81.4,81.5,81.4,81.5,17437
2024-05-13T13:49:00+05:30,6068.75,6069.55,6065.85,6069.55,101
2024-05-13T13:49:00+05:30,26835.3,26872.9,26835.3,26835.3,14
2024-05-13T13:49:00+05:30,2296.9,2300.25,2296.85,2300.25,2347
2024-05-13T13:49:00+05:30,4811.85,4817.0,4809.95,4816.95,423
2024-05-13T13:49:00+05:30,545.25,546.1,545.2,545.5,11223
2024-05-13T13:49:00+05:30,3620.85,3625.0,3619.1,3621.2,850
2024-05-13T13:49:00+05:30,985.25,986.0,984.95,986.0,1119
2024-05-13T13:49:00+05:30,594.9,596.0,594.35,595.6,4751
2024-05-13T13:49:00+05:30,136.35,136.45,136.25,136.45,24426
2024-05-13T13:49:00+05:30,124.65,124.75,124.55,124.7,27295
2024-05-13T13:49:00+05:30,3492.1,3494.2,3489.3,3489.3,1176
2024-05-13T13:49:00+05:30,3788.0,3791.95,3788.0,3788.0,86
2024-05-13T13:49:00+05:30,1113.6,1114.3,1112.45,1113.9,5212
2024-05-13T13:49:00+05:30,197.7,197.9,197.6,197.8,75427
2024-05-13T13:49:00+05:30,15649.85,15660.05,15649.85,15660.05,11
2024-05-13T13:49:00+05:30,22.1,22.15,22.05,22.15,434727
2024-05-13T13:49:00+05:30,6293.0,6300.0,6293.0,6294.1,1454
2024-05-13T13:49:00+05:30,806.0,807.2,805.8,806.8,2664
2024-05-13T13:49:00+05:30,60.25,60.4,60.25,60.4,12903
2024-05-13T13:49:00+05:30,34356.05,34379.9,34343.75,34348.45,43
2024-05-13T13:49:00+05:30,2861.2,2861.85,2859.35,2861.0,524
2024-05-13T13:49:00+05:30,197.7,197.9,197.6,197.8,25277
2024-05-13T13:49:00+05:30,5196.3,5198.0,5196.3,5197.1,10
2024-05-13T13:49:00+05:30,93.7,93.85,93.6,93.8,249471
2024-05-13T13:49:00+05:30,22837.2,22858.15,22835.85,22856.7,0
