id,O,H,L,C,V,alarmTimer,refT,srT,srV,nSR,GL
161,859.6,860.95,859.6,860.8,3465,0,0.0,None,0.0,856.9833333333335,-2.585865444463308
162,590.75,591.0,590.2,591.0,468,0,0.0,None,0.0,593.0500000000001,-0.6639213379275646
163,381.95,382.3,381.9,382.0,13434,0,0.0,None,0.0,410.6666666666665,-16.530099420954876
164,1134.15,1134.9,1134.15,1134.55,451,0,0.0,None,0.0,1144.9666666666662,-5.45416666666667
165,37.4,37.5,37.4,37.5,80320,0,0.0,None,0.0,37.43333333333334,-5.303030303030306
166,496.45,496.45,495.55,495.85,8802,0,0.0,None,0.0,502.9333333333334,-6.399244926852285
167,670.55,673.25,670.55,673.25,6180,0,0.0,None,0.0,681.9166666666665,-8.773712737127372
168,1607.0,1608.0,1606.05,1607.6,792,0,0.0,None,0.0,1604.7000000000007,-4.184050542376925
169,249.6,249.6,249.6,249.6,245692,0,0.0,None,0.0,265.3499999999998,-11.614730878186965
170,10.75,10.8,10.75,10.75,27960,0,0.0,None,0.0,10.683333333333337,-10.416666666666668
171,578.85,579.0,578.65,578.65,36,0,0.0,None,0.0,0.0,-85.57504144386692
172,578.85,579.0,578.65,578.65,36,0,0.0,None,0.0,153.2333333333334,294.0415389853592
173,1301.0,1301.0,1300.25,1300.25,366,0,0.0,None,0.0,1306.4666666666667,-1.4402122418040553
174,578.85,579.0,578.65,578.65,36,0,0.0,None,0.0,580.9666666666667,-3.4134535136037467
175,3527.0,3527.0,3524.05,3524.05,26,0,0.0,None,0.0,3539.7166666666667,-0.37880394069173096
176,821.15,822.65,821.15,821.35,6145,0,0.0,None,0.0,0.0,-73.85276561878233
177,821.15,822.65,821.15,821.35,6145,0,0.0,None,0.0,342.4000000000001,153.42486886763345
178,821.15,822.65,821.15,821.35,6145,0,0.0,None,0.0,827.1666666666665,-2.0861894259998808
179,821.15,822.65,821.15,821.35,6145,0,0.0,None,0.0,0.0,-97.30190067604413
180,821.15,822.65,821.15,821.35,6145,0,0.0,None,0.0,1103.3833333333332,-29.197017369940948
181,0.0,0.0,0.0,0.0,0,0,0.0,None,0.0,0.0,0.0
182,220.65,220.75,220.55,220.75,9684,0,0.0,None,0.0,0.0,-81.80506902946631
183,220.65,220.75,220.55,220.75,9684,0,0.0,None,0.0,0.0,-89.45117434831434
184,220.65,220.75,220.55,220.75,9684,0,0.0,None,0.0,0.0,-93.34207986488117
185,220.65,220.75,220.55,220.75,9684,0,0.0,None,0.0,219.79999999999995,-6.223449447748516
186,1979.95,1980.65,1978.5,1978.65,354,0,0.0,None,0.0,1091.9333333333338,91.86909090909093
187,720.15,720.45,719.2,719.65,393,0,0.0,None,0.0,715.6833333333332,-1.0926333150082523
188,54.3,54.35,54.15,54.2,14769,0,0.0,None,0.0,53.85000000000001,-4.3248014121800455
189,119.0,119.15,118.95,118.95,37626,0,0.0,None,0.0,122.29999999999995,-7.93343653250773
190,421.2,421.5,420.9,420.9,1229,0,0.0,None,0.0,524.1833333333334,-23.38915180196578
191,421.2,421.5,420.9,420.9,1229,0,0.0,None,0.0,0.0,-91.83550749236217
192,421.2,421.5,420.9,420.9,1229,0,0.0,None,0.0,419.26666666666677,-1.9795062878435028
193,680.15,680.45,679.6,679.6,980,0,0.0,None,0.0,680.0666666666666,-4.69779834525312
194,1778.0,1778.0,1774.7,1775.45,196,0,0.0,None,0.0,0.0,-57.130266811541716
195,226.0,226.2,225.7,225.7,697,0,0.0,None,0.0,225.9333333333333,-0.4411116012351125
196,4970.15,4972.55,4970.15,4970.45,6,0,0.0,None,0.0,5012.733333333332,-2.7080723457563494
197,1778.0,1778.0,1774.7,1775.45,196,0,0.0,None,0.0,1762.5333333333333,-5.14745165081739
198,1778.0,1778.0,1774.7,1775.45,196,0,0.0,None,0.0,3056.1833333333325,-46.92385877851185
199,416.95,417.0,415.55,415.65,12838,0,0.0,None,0.0,396.1666666666665,10.062226929696811
200,1178.95,1178.95,1178.75,1178.75,90,0,0.0,None,0.0,1462.666666666667,-23.058093994778066
201,416.95,417.0,415.55,415.65,12838,0,0.0,None,0.0,0.0,-55.730109702843755
202,1178.95,1178.95,1178.75,1178.75,90,1800,1699818008.8645442,S,1178.7333333333336,1178.7333333333336,-1.1613281905081259
203,416.95,417.0,415.55,415.65,12838,0,0.0,None,0.0,422.01666666666665,-6.004070556309364
204,60.75,60.75,60.65,60.75,2563,1800,1699818008.860555,S,60.75,60.75,-4.855129209083793
205,895.75,895.95,894.3,894.3,97,0,0.0,None,0.0,435.7499999999998,114.35762224352828
206,895.75,895.95,894.3,894.3,97,0,0.0,None,0.0,889.2833333333333,-2.7934782608695703
207,43.55,43.65,43.55,43.65,65447,0,0.0,None,0.0,0.0,-98.80355233944577
208,0.0,0.0,0.0,0.0,0,0,0.0,None,0.0,0.0,0.0
209,895.75,895.95,894.3,894.3,97,0,0.0,None,0.0,50.33333333333334,1802.7659574468084
210,895.75,895.95,894.3,894.3,97,0,0.0,None,0.0,1542.0666666666675,-44.401616412806966
211,312.9,313.0,312.6,312.6,558,0,0.0,None,0.0,313.5833333333333,-2.949394597950947
212,2115.8,2115.8,2113.9,2113.9,28,0,0.0,None,0.0,2110.6833333333334,-2.227053028375851
213,2115.8,2115.8,2113.9,2113.9,28,0,0.0,None,0.0,2938.7333333333354,-30.215898587085693
214,2115.8,2115.8,2113.9,2113.9,28,0,0.0,None,0.0,1004.5999999999999,123.2442707783293
215,0.0,0.0,0.0,0.0,0,0,0.0,None,0.0,0.0,0.0
216,0.0,0.0,0.0,0.0,0,0,0.0,None,0.0,0.0,0.0
217,808.25,808.45,808.0,808.4,277,0,0.0,None,0.0,278.73333333333335,211.52215799614643
218,808.25,808.45,808.0,808.4,277,0,0.0,None,0.0,149.88333333333327,485.1610568222946
219,213.55,213.8,213.5,213.5,3526,0,0.0,None,0.0,213.64999999999998,-10.23754467101114
220,372.6,372.6,372.2,372.5,73,0,0.0,None,0.0,371.83333333333326,-3.2467532467532463
221,808.25,808.45,808.0,808.4,277,0,0.0,None,0.0,812.1333333333332,-2.0061821928601815
222,0.0,0.0,0.0,0.0,0,0,0.0,None,0.0,0.0,0.0
223,326.35,326.6,325.05,325.15,8008,0,0.0,None,0.0,324.16666666666663,-2.649700598802402
224,452.8,453.4,452.8,453.4,2009,0,0.0,None,0.0,465.95000000000005,-5.610492349328624
225,1086.8,1087.9,1086.3,1086.3,339,0,0.0,None,0.0,1079.2499999999995,-4.781522548976637
226,326.35,326.6,325.05,325.15,8008,0,0.0,None,0.0,306.48333333333346,10.201660735468552
227,326.35,326.6,325.05,325.15,8008,0,0.0,None,0.0,0.0,-81.87973695942932
228,608.2,609.25,608.2,609.25,406,0,0.0,None,0.0,612.7166666666668,-7.176049363906456
229,1541.0,1541.9,1540.05,1541.9,152,0,0.0,None,0.0,1594.5666666666666,-5.08756270967344
230,960.3,960.3,959.1,959.1,106,0,0.0,None,0.0,974.7833333333338,-4.567164179104475
231,437.1,437.9,437.1,437.5,3706,0,0.0,None,0.0,449.81666666666683,-6.407102363889184
232,971.05,971.5,971.05,971.5,32,0,0.0,None,0.0,479.4333333333334,116.99798972526246
233,456.4,456.8,455.9,455.9,132,0,0.0,None,0.0,458.6333333333333,-2.209352209352212
234,971.05,971.5,971.05,971.5,32,1800,1699818009.0081604,S,971.5,971.5,-1.8042148885632003
235,1285.85,1289.25,1285.85,1288.45,3244,0,0.0,None,0.0,1512.6333333333332,-20.135746606334838
236,1285.85,1289.25,1285.85,1288.45,3244,0,0.0,None,0.0,213.58333333333326,549.2567397329302
237,5192.35,5193.35,5184.35,5187.45,1565,0,0.0,None,0.0,5196.299999999999,-5.7135846450252705
238,1585.0,1586.9,1584.35,1585.45,441,0,0.0,None,0.0,1608.2333333333336,-9.119830328738065
239,1285.85,1289.25,1285.85,1288.45,3244,0,0.0,None,0.0,1296.0833333333333,2.278229807501492
240,0.0,0.0,0.0,0.0,0,0,0.0,None,0.0,0.0,0.0
241,0.0,0.0,0.0,0.0,0,0,0.0,None,0.0,0.0,0.0
242,620.1,620.5,619.65,619.75,4092,0,0.0,None,0.0,620.2999999999997,-6.176670956021491
243,620.1,620.5,619.65,619.75,4092,0,0.0,None,0.0,954.0666666666675,-39.31753647312249
244,136.7,136.7,136.45,136.5,1563,0,0.0,None,0.0,0.0,-81.40960163432074
245,136.7,136.7,136.45,136.5,1563,0,0.0,None,0.0,136.1,-4.944289693593311
246,1234.65,1235.35,1234.4,1234.45,176,0,0.0,None,0.0,1229.3833333333334,-1.3111084462565348
247,3896.0,3896.0,3890.0,3895.75,14,0,0.0,None,0.0,3899.2166666666662,-1.5043296883888504
248,998.05,999.15,997.65,997.65,434,0,0.0,None,0.0,1010.0499999999997,-5.864314021513492
249,502.25,502.6,502.25,502.6,163,0,0.0,None,0.0,504.1166666666666,-0.45553574965338767
250,998.05,999.15,997.65,997.65,434,0,0.0,None,0.0,414.29999999999995,151.67759838546922
251,713.0,715.1,712.95,714.75,1070,0,0.0,None,0.0,717.7999999999997,-6.274586939417784
252,1741.7,1744.8,1741.7,1744.8,22,0,0.0,None,0.0,1743.2666666666667,-1.7014084507042277
253,2625.3,2631.05,2623.55,2631.05,1057,0,0.0,None,0.0,2678.7333333333336,-4.697998732228554
254,522.35,522.35,520.0,520.4,1577,0,0.0,None,0.0,521.45,-3.6207056208908357
