id,disc,sector,symbol,token,cap,O,H,L,C,s5,s4,s3,s2,s1,p,r1,r2,r3,r4,r5
120,One 97 Communications Ltd.,Financial Services,PAYTM-EQ,6705,40359,853.2,858.0,847.2,854.4,827.9999999999995,832.8,837.5999999999999,842.4,848.3999999999999,853.1999999999999,859.1999999999998,863.9999999999999,869.9999999999998,875.9999999999995,881.9999999999995
121,Power Finance Corporation Ltd.,Financial Services,PFC-EQ,14299,40063,249.75,250.35,243.45,244.9,226.98333333333323,231.09999999999997,235.21666666666664,239.33333333333331,242.11666666666665,246.23333333333332,249.01666666666665,253.13333333333333,255.91666666666666,258.70000000000005,261.48333333333335
123,Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN-EQ,23650,39339,1264.95,1264.95,1206.35,1214.75,1061.2833333333333,1097.5499999999997,1133.8166666666666,1170.0833333333333,1192.4166666666667,1228.6833333333334,1251.0166666666669,1287.2833333333335,1309.616666666667,1331.9500000000007,1354.2833333333338
124,AU Small Finance Bank Ltd.,Financial Services,AUBANK-EQ,21238,38614,745.75,747.25,716.6,720.4,639.9333333333334,659.0999999999999,678.2666666666668,697.4333333333334,708.9166666666667,728.0833333333334,739.5666666666667,758.7333333333333,770.2166666666667,781.6999999999998,793.1833333333334
128,Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL-EQ,21614,37128,180.5,180.55,175.2,175.95,161.9333333333334,165.24999999999994,168.56666666666666,171.88333333333333,173.91666666666669,177.23333333333335,179.2666666666667,182.58333333333337,184.61666666666673,186.65000000000015,188.6833333333334
131,HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC-EQ,4244,36449,2670.2,2682.0,2562.65,2578.65,2265.7166666666653,2339.949999999999,2414.183333333333,2488.4166666666665,2533.533333333333,2607.7666666666664,2652.8833333333328,2727.1166666666663,2772.2333333333327,2817.3499999999985,2862.4666666666653
132,Indian Bank,Financial Services,INDIANB-EQ,14309,35937,431.8,444.0,404.3,413.9,311.2333333333331,334.4999999999998,357.7666666666666,381.0333333333333,397.4666666666666,420.7333333333333,437.1666666666666,460.4333333333333,476.86666666666656,493.2999999999997,509.7333333333331
142,Indian Railway Finance Corporation Ltd.,Financial Services,IRFC-EQ,2029,34762,76.0,76.3,74.5,74.85,70.16666666666669,71.25000000000003,72.33333333333334,73.41666666666667,74.13333333333334,75.21666666666667,75.93333333333334,77.01666666666667,77.73333333333333,78.45000000000002,79.16666666666669
144,IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB-EQ,11184,34350,97.65,98.4,93.65,94.55,82.18333333333334,85.04999999999998,87.91666666666669,90.78333333333335,92.66666666666669,95.53333333333335,97.41666666666669,100.28333333333335,102.16666666666669,104.04999999999998,105.93333333333334
156,Bandhan Bank Ltd.,Financial Services,BANDHANBNK-EQ,2263,31532,256.85,259.25,247.25,249.35,218.05000000000007,225.35000000000002,232.65000000000003,239.95000000000002,244.65000000000003,251.95000000000002,256.65000000000003,263.95000000000005,268.65000000000003,273.35,278.05000000000007
159,Bank of India,Financial Services,BANKINDIA-EQ,4745,30633,108.8,110.95,103.1,105.05,84.76666666666665,89.35,93.93333333333334,98.51666666666667,101.78333333333335,106.36666666666667,109.63333333333335,114.21666666666668,117.48333333333336,120.75000000000006,124.01666666666671
160,REC Ltd.,Financial Services,RECLTD-EQ,15355,30400,284.2,286.0,279.6,281.3,264.80000000000007,268.5000000000001,272.20000000000005,275.90000000000003,278.6,282.3,285.0,288.7,291.4,294.1,296.79999999999995
162,Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH-EQ,7083,30148,616.45,616.5,597.0,603.35,553.4666666666667,564.3499999999999,575.2333333333333,586.1166666666667,594.7333333333333,605.6166666666667,614.2333333333333,625.1166666666667,633.7333333333333,642.3499999999999,650.9666666666667
165,UCO Bank,Financial Services,UCOBANK-EQ,11223,29052,43.25,45.4,42.6,43.0,35.66666666666666,37.400000000000006,39.13333333333333,40.86666666666667,41.93333333333333,43.666666666666664,44.73333333333333,46.46666666666666,47.533333333333324,48.599999999999994,49.66666666666666
