id,disc,sector,symbol,token,cap,O,H,L,C,s5,s4,s3,s2,s1,p,r1,r2,r3,r4,r5,ltp
56,DLF Ltd.,Realty,DLF-EQ,14732,88294.0,529.15,529.8,517.35,520.1,487.8166666666666,495.2000000000003,502.58333333333337,509.9666666666667,515.0333333333333,522.4166666666666,527.4833333333332,534.8666666666666,539.9333333333332,544.9999999999998,550.0666666666664,568.4
57,Bank of Baroda,Financial Services,BANKBARODA-EQ,4668,87318.0,214.85,216.5,209.75,210.65,192.94999999999993,197.14999999999998,201.34999999999997,205.54999999999998,208.09999999999997,212.29999999999998,214.84999999999997,219.04999999999998,221.59999999999997,224.14999999999998,226.69999999999993,203.5
58,IndusInd Bank Ltd.,Financial Services,INDUSINDBK-EQ,5258,82857.0,1437.0,1445.35,1409.45,1413.0,1318.4500000000007,1341.2000000000007,1363.9500000000005,1386.7000000000003,1399.8500000000004,1422.6000000000001,1435.7500000000002,1458.5,1471.65,1484.7999999999997,1497.9499999999998,1463.7
59,Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT-EQ,910,80645.0,3480.0,3500.0,3425.0,3440.25,3245.333333333334,3290.25,3335.166666666667,3380.0833333333335,3410.166666666667,3455.0833333333335,3485.166666666667,3530.0833333333335,3560.166666666667,3590.25,3620.333333333334,3476.4
60,Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY-EQ,881,76981.0,5507.45,5507.45,5411.0,5429.1,5177.933333333334,5236.200000000001,5294.466666666667,5352.733333333334,5390.916666666667,5449.183333333333,5487.366666666667,5545.633333333333,5583.816666666667,5622.0,5660.183333333334,5460.2
61,Divi's Laboratories Ltd.,Healthcare,DIVISLAB-EQ,10940,74951.0,3778.2,3799.95,3651.0,3665.0,3272.466666666669,3367.100000000002,3461.7333333333345,3556.3666666666672,3610.6833333333343,3705.316666666667,3759.633333333334,3854.266666666667,3908.583333333334,3962.9000000000005,4017.216666666669,0.0
62,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL-EQ,526,74687.0,347.05,350.0,342.0,343.95,323.26666666666665,327.95000000000005,332.6333333333333,337.31666666666666,340.6333333333333,345.31666666666666,348.6333333333333,353.31666666666666,356.6333333333333,359.95000000000005,363.26666666666665,0.0
63,Havells India Ltd.,Consumer Durables,HAVELLS-EQ,9819,74460.0,1410.8,1416.6,1368.05,1375.15,1248.0499999999993,1278.0500000000002,1308.0499999999995,1338.0499999999997,1356.5999999999995,1386.5999999999997,1405.1499999999994,1435.1499999999996,1453.6999999999994,1472.2499999999995,1490.7999999999988,0.0
64,Adani Power Ltd.,Power,ADANIPOWER-EQ,17388,73898.0,376.8,379.85,372.45,375.4,356.64999999999964,360.5999999999997,364.5499999999998,368.4999999999999,371.9499999999998,375.8999999999999,379.34999999999985,383.29999999999995,386.7499999999999,390.19999999999993,393.64999999999986,0.0
65,InterGlobe Aviation Ltd.,Services,INDIGO-EQ,11195,73664.0,2373.05,2394.45,2333.35,2342.35,2182.416666666668,2220.1499999999996,2257.8833333333337,2295.616666666667,2318.9833333333336,2356.7166666666667,2380.0833333333335,2417.8166666666666,2441.1833333333334,2464.55,2487.916666666667,0.0
66,Cipla Ltd.,Healthcare,CIPLA-EQ,694,72683.0,1180.5,1185.0,1158.9,1164.05,1096.1666666666665,1111.85,1127.5333333333333,1143.2166666666667,1153.6333333333332,1169.3166666666666,1179.7333333333331,1195.4166666666665,1205.833333333333,1216.2499999999995,1226.666666666666,0.0
67,Ambuja Cements Ltd.,Construction Materials,AMBUJACEM-EQ,1270,72585.0,431.0,431.5,418.65,419.9,386.04999999999995,394.19999999999993,402.3499999999999,410.49999999999994,415.19999999999993,423.34999999999997,428.04999999999995,436.2,440.9,445.60000000000014,450.29999999999995,0.0
68,SRF Ltd.,Chemicals,SRF-EQ,3273,71493.0,2270.0,2270.0,2224.25,2232.3,2112.9833333333336,2140.8,2168.616666666667,2196.4333333333334,2214.366666666667,2242.1833333333334,2260.116666666667,2287.9333333333334,2305.866666666667,2323.8,2341.7333333333336,0.0
69,ABB India Ltd.,Capital Goods,ABB-EQ,13,71310.0,4250.0,4250.0,4087.7,4101.7,3673.5666666666693,3777.100000000002,3880.633333333334,3984.166666666667,4042.9333333333343,4146.466666666667,4205.2333333333345,4308.766666666667,4367.533333333335,4426.300000000003,4485.066666666669,0.0
