id,desc,symbol,sector,token,ltp,sr1,sr2,sr3,sr4,sr5,sr6,sr7
58,Devyani International Ltd.,DEVYANI-EQ,,5373,211.45,214.45,217.55,220.0,223.1,225.55,228.65,231.1
59,Divi's Laboratories Ltd.,DIVISLAB-EQ,,10940,3815.5,3630.68,3649.47,3674.13,3692.92,3717.58,3736.37,3761.03
60,Dixon Technologies (India) Ltd.,DIXON-EQ,,21690,5059.0,4997.45,5031.5,5076.35,5110.4,5155.25,5189.3,5234.15
61,Dr. Lal Pathlabs Ltd.,LALPATHLAB-EQ,,11654,2335.8,2137.03,2174.07,2195.73,2232.77,2254.43,2291.47,2313.13
62,Dr. Reddy's Laboratories Ltd.,DRREDDY-EQ,,881,5819.5,5494.33,5532.17,5557.98,5595.82,5621.63,5659.47,5685.28
63,Eicher Motors Ltd.,EICHERMOT-EQ,,910,3427.2,3315.63,3340.87,3355.88,3381.12,3396.13,3421.37,3436.38
64,Escorts Kubota Ltd.,ESCORTS-EQ,,958,3151.95,3091.73,3115.87,3150.63,3174.77,3209.53,3233.67,3268.43
65,FSN E-Commerce Ventures Ltd.,NYKAA-EQ,,6545,153.55,140.17,142.08,144.07,145.98,147.97,149.88,151.87
66,Federal Bank Ltd.,FEDERALBNK-EQ,,1023,148.25,142.35,143.7,145.6,146.95,148.85,150.2,152.1
67,Fortis Healthcare Ltd.,FORTIS-EQ,,14592,330.5,326.37,330.33,334.82,338.78,343.27,347.23,351.72
68,GAIL (India) Ltd.,GAIL-EQ,,4717,123.85,123.4,124.65,126.35,127.6,129.3,130.55,132.25
69,Gland Pharma Ltd.,GLAND-EQ,,1186,1696.15,1656.7,1670.85,1681.6,1695.75,1706.5,1720.65,1731.4
70,Godrej Consumer Products Ltd.,GODREJCP-EQ,,10099,1002.05,1000.37,1005.63,1012.97,1018.23,1025.57,1030.83,1038.17
71,Godrej Properties Ltd.,GODREJPROP-EQ,,17875,1660.85,1614.52,1633.78,1663.52,1682.78,1712.52,1731.78,1761.52
72,Grasim Industries Ltd.,GRASIM-EQ,,1232,1972.85,1825.0,1832.55,1841.15,1848.7,1857.3,1864.85,1873.45
73,Gujarat Fluorochemicals Ltd.,FLUOROCHEM-EQ,,13750,3125.4,2917.37,2966.43,3016.87,3065.93,3116.37,3165.43,3215.87
74,Gujarat Gas Co. Ltd.,GUJGASLTD-EQ,,10599,451.3,459.0,461.0,462.7,464.7,466.4,468.4,470.1
75,HCL Technologies Ltd.,HCLTECH-EQ,,7229,1304.6,1239.13,1246.72,1254.38,1261.97,1269.63,1277.22,1284.88
76,HDFC Asset Management Company Ltd.,HDFCAMC-EQ,,4244,2726.05,2479.2,2494.6,2515.2,2530.6,2551.2,2566.6,2587.2
77,HDFC Bank Ltd.,HDFCBANK-EQ,,1333,1661.75,1584.4,1596.0,1609.7,1621.3,1635.0,1646.6,1660.3
78,HDFC Life Insurance Company Ltd.,HDFCLIFE-EQ,,467,644.9,645.48,649.22,653.33,657.07,661.18,664.92,669.03
79,Havell's India Ltd.,HAVELLS-EQ,,9819,1431.05,1321.5,1348.75,1399.5,1426.75,1477.5,1504.75,1555.5
80,Hero MotoCorp Ltd.,HEROMOTOCO-EQ,,1348,3064.85,2903.42,2931.78,2970.27,2998.63,3037.12,3065.48,3103.97
81,Hindalco Industries Ltd.,HINDALCO-EQ,,1363,496.55,458.53,463.12,469.63,474.22,480.73,485.32,491.83
82,Hindustan Aeronautics Ltd.,HAL-EQ,,2303,3947.65,3970.17,4010.58,4058.07,4098.48,4145.97,4186.38,4233.87
83,Hindustan Petroleum Corporation Ltd.,HINDPETRO-EQ,,1406,252.25,245.87,249.93,255.17,259.23,264.47,268.53,273.77
84,Hindustan Unilever Ltd.,HINDUNILVR-EQ,,1394,2469.7,2483.72,2492.63,2503.22,2512.13,2522.72,2531.63,2542.22
