id,sector,symbol,token,PC,CC1,CC2,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,rsi,rsi0,rsi1,rsi2,roc0,bulRPC,berRPC,alarmTimer,srT,srV,nSR,GL,ot,oc
27,Power,NTPC-EQ,11630,336.1,359.8,360.1,85021,0.314999999999992,0.0874757011941105,green,"1.5, 3.0, 0.75","normal, marubozu",none,Bearish_Engulfing,18927.3,"5.0, 3.0, 0.5","1.3885031935576608, -6.948304613674264, 11.097239561658409","46.875000000001, 34.61538461538496, 69.23076923076991",46.875000000001,34.61538461538496,69.23076923076991,1.3885031935576608,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
28,Metals & Mining,JSWSTEEL-EQ,11723,814.65,873.1,874.35,9507,0.8650000000000091,0.0989306341853959,green,"2.0, 1.5, 0.75","marubozu, marubozu",none,Bearish_Engulfing,5825.4,"2.0, 2.0, 2.0","-2.28741350717598, -16.607490550909766, -2.28741350717598","45.0, 26.666666666666668, 40.0",45.0,26.666666666666668,40.0,-2.28741350717598,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
29,Power,POWERGRID-EQ,14977,282.9,312.3,312.2,15735,0.1800000000000068,0.0576553491351719,red,"1.5, 2.0, 0.5","normal, marubozu",none,Bearish_Engulfing,16279.1,"1.0, 2.0, 0.75","3.2030749519527832, 6.404098623118433, 15.99488163787588","58.33333333333215, 63.63636363636317, 87.49999999999822",58.33333333333215,63.63636363636317,87.49999999999822,3.2030749519527832,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
30,Automobile and Auto Components,M&M-EQ,2031,1703.55,2297.7,2299.7,2954,1.8249999999999544,0.0793581771535398,green,"1.5, 1.0, 1.0","marubozu, hammer",hammer,none,2277.4,"1.5, 1.5, 1.0","8.044527547070961, -0.6528267397836575, -0.6528267397836575","63.72549019607795, 54.87804878048652, 54.87804878048652",63.72549019607795,54.87804878048652,54.87804878048652,8.044527547070961,"none, hammer","none, none",0,none,0,0,0,,
31,Information Technology,LTIM-EQ,17818,5438.45,4670.6,4670.75,79,2.3049999999999278,0.0493496761762014,red,"2.0, 0.5, 2.0","normal, normal",none,none,374.9,"0.25, 0.75, 3.0","2.676229727559813, 2.3551577955730822, 1.070663811563169","58.99280575539474, 58.08823529411903, 54.03225806451566",58.99280575539474,58.08823529411903,54.03225806451566,2.676229727559813,"none, none","none, none",0,none,0,0,0,,
32,Automobile and Auto Components,TATAMOTORS-EQ,3456,926.8,954.65,954.55,26615,0.4800000000000068,0.0502854748310729,red,"1.5, 2.0, 0.75","normal, marubozu",none,none,22353.2,"1.5, 3.0, 0.75","-14.142789796239304, -13.093804011941549, -5.233410090014654","26.415094339623447, 27.450980392157916, 38.88888888888994",26.415094339623447,27.450980392157916,38.88888888888994,-14.142789796239304,"none, none","none, none",0,none,0,0,0,,
33,Power,ADANIGREEN-EQ,3563,1668.65,1829.0,1827.95,21913,2.215000000000032,0.1211739927240915,green,"1.5, 1.5, 1.0","spn_top, hammer",hammer,none,23036.9,"1.0, 2.0, 1.5","-10.667687847042016, -4.9207217058506885, -3.826809534222859","43.97905759162401, 49.41176470588292, 50.60240963855501",43.97905759162401,49.41176470588292,50.60240963855501,-10.667687847042016,"none, hammer","none, none",0,none,0,0,0,,
34,Services,ADANIPORTS-EQ,15083,1258.55,1340.55,1340.4,1472,1.005000000000018,0.0749776186213084,green,"0.75, 1.5, 0.5","spn_top, normal",none,none,1537.5,"1.0, 1.0, 0.75","-6.341390629662109, -5.221737346611804, 0.0","46.08695652174072, 47.321428571429045, 54.08163265306207",46.08695652174072,47.321428571429045,54.08163265306207,-6.341390629662109,"none, none","none, none",0,none,0,0,0,,
35,Oil Gas & Consumable Fuels,COALINDIA-EQ,20374,440.25,462.5,462.15,44284,0.4550000000000068,0.0984528832630113,red,"1.5, 1.5, 1.0","normal, normal",none,Bearish_Engulfing,18515.8,"3.0, 2.0, 0.75","-18.392296873310023, -10.81081081081081, -1.0800302408469893","34.04255319148952, 40.00000000000057, 51.6129032258068",34.04255319148952,40.00000000000057,51.6129032258068,-18.392296873310023,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
36,Metals & Mining,TATASTEEL-EQ,3499,141.55,165.95,165.95,6060,0.1049999999999982,0.0632720699005714,green,"0.5, 1.0, 1.5","hammer, normal",none,none,16090.0,"0.5, 0.75, 1.5","-9.038867128653552, -9.038867128653552, -9.038867128653552","44.44444444444304, 44.44444444444304, 44.44444444444304",44.44444444444304,44.44444444444304,44.44444444444304,-9.038867128653552,"none, none","none, none",0,none,0,0,0,,
